name,rating,average_price,average _delivery_time,location,cuisine,phone,features
# Momo,4.2,200,34,Durgapur,Multicuisine,+91 710-537-5128,"WiFi, Live Music, Parking, AC"
#99,4.1,100,31,Bareilly,Multicuisine,+91 997-406-7122,"AC, Outdoor Seating, Parking, Home Delivery"
#BBQ,3.6,200,57,Mangalore,Fast Food,+91 727-680-9283,"Takeaway Available, Live Music, Outdoor Seating"
#Dilliwaala6,3.7,100,38,Puducherry,"North Indian, Street Food",+91 785-340-4174,"AC, Parking, WiFi, Outdoor Seating"
#FlyFree,4,200,26,Ajmer,Fast Food,+91 951-283-3931,"AC, Takeaway Available"
#Foodiz,3.5,100,23,Udaipur,"North Indian, Fast Food",+91 996-225-7861,"Outdoor Seating, Live Music, AC, Takeaway Available"
#Hashtag Momos,4.3,300,25,Jaipur,Fast Food,+91 749-486-1357,"Outdoor Seating, Live Music"
#PB Patiala Bites,4,350,47,Udaipur,"North Indian, Fast Food",+91 807-760-2387,"AC, WiFi"
'@ Pizza,4,200,71,Kolkata,Multicuisine,+91 774-988-3980,"Live Music, Outdoor Seating, AC"
'@ Spirants Chai,4.2,150,24,Gaya,Multicuisine,+91 767-655-3880,"Home Delivery, Parking, Outdoor Seating"
'@69 Food Zone,3.7,200,35,Kolkata,North Indian,+91 976-776-7086,"Outdoor Seating, Home Delivery, Takeaway Available, WiFi"
0265 Burgers & Pizzas,4.5,150,24,Vadodara,Fast Food,+91 727-458-6230,"Parking, WiFi, Live Music, Takeaway Available"
0612 Road Chef Online,4.2,250,35,Patna,"North Indian, Biryani",+91 706-919-9384,"Outdoor Seating, WiFi, Takeaway Available"
07 Bakery,2.7,150,23,Kota,Bakery,+91 780-480-2262,"Takeaway Available, Live Music, Parking, AC"
1 Bake Shop,4,100,38,Bhubaneswar,"Fast Food, Bakery",+91 711-947-2551,"Home Delivery, Takeaway Available, Live Music"
1 Bake Shop,4.1,100,24,Cuttack,"Fast Food, Bakery",+91 791-920-2928,"Live Music, AC, Parking"
10 Downing Street,4.3,150,24,Vijayawada,North Indian,+91 762-659-3604,"Takeaway Available, Live Music"
10 Dur's,4.1,200,20,Ludhiana,North Indian,+91 894-633-7815,"Live Music, Takeaway Available, WiFi, AC"
10 Hour's Family Restaurant,3.8,200,32,Patna,"North Indian, Fast Food, Biryani",+91 841-981-5066,"AC, Home Delivery, Parking, WiFi"
10 Muffins,4.4,600,37,Chennai,Multicuisine,+91 876-616-5171,"Takeaway Available, Parking, WiFi"
10 Park Street Cafe & Kitchen,4.2,300,34,Gorakhpur,North Indian,+91 885-756-6487,"Live Music, Home Delivery, AC, Outdoor Seating"
10 To 10 Restaurants & Party Hall,3,100,26,Patna,"South Indian, North Indian",+91 874-951-4890,"AC, Parking, Home Delivery, Live Music"
100 Foodies,3.8,100,27,Kota,"Fast Food, Street Food",+91 964-286-6795,"Takeaway Available, Live Music, WiFi, Outdoor Seating"
